""
City,AverageExerciseHours,RestingHeartRate
New York,5.2,60
Los Angeles,4.3,62
Chicago,6.5,58
Houston,3.1,65
Phoenix,5.0,61
Philadelphia,4.8,64
San Antonio,5.1,59
San Diego,6.0,57
Dallas,4.5,63
San Jose,6.2,56
Austin,5.7,60
Jacksonville,3.9,66
Fort Worth,4.8,62
Columbus,5.3,61
Charlotte,4.4,63
Indianapolis,3.5,65
Seattle,6.1,58
Denver,5.8,59
Boston,6.3,57
El Paso,4.0,66
Detroit,3.2,67
Nashville,4.6,64
Memphis,3.5,66
Portland,6.4,57
Las Vegas,4.7,63
Louisville,4.2,65
Baltimore,3.9,66
Milwaukee,4.5,62
Albuquerque,5.0,61
Tucson,4.3,64
""
