""
City,Year,SalesVolume
New York,2010,157
Los Angeles,2010,168
Chicago,2010,122
Houston,2010,203
Phoenix,2010,234
Philadelphia,2010,145
San Antonio,2010,208
San Diego,2010,171
Dallas,2010,200
San Jose,2010,185
New York,2011,161
Los Angeles,2011,172
Chicago,2011,115
Houston,2011,212
Phoenix,2011,241
Philadelphia,2011,139
San Antonio,2011,215
San Diego,2011,179
Dallas,2011,210
San Jose,2011,192
New York,2012,165
Los Angeles,2012,175
Chicago,2012,119
Houston,2012,218
Phoenix,2012,247
Philadelphia,2012,143
San Antonio,2012,219
San Diego,2012,182
Dallas,2012,220
San Jose,2012,198
New York,2013,170
Los Angeles,2013,178
Chicago,2013,125
Houston,2013,225
Phoenix,2013,253
Philadelphia,2013,147
San Antonio,2013,223
San Diego,2013,185
Dallas,2013,225
San Jose,2013,202
""
