""
City,Popularity,Attendance
New York,98,94000
Los Angeles,95,87000
Chicago,92,78000
Houston,85,72000
Phoenix,83,68000
Philadelphia,80,67000
San Antonio,78,64000
San Diego,77,63000
Dallas,75,62000
San Jose,74,61000
Austin,73,60000
Jacksonville,72,59000
Fort Worth,71,58000
Columbus,70,57000
Charlotte,69,56000
Detroit,68,55000
El Paso,67,54000
Seattle,66,53000
Denver,65,52000
Washington,64,51000
Nashville,63,50000
Boston,62,49000
Memphis,61,48000
Portland,60,47000
Oklahoma City,59,46000
Las Vegas,58,45000
Louisville,57,44000
Baltimore,56,43000
Milwaukee,55,42000
Albuquerque,54,41000
Tucson,53,40000
Fresno,52,39000
Sacramento,51,38000
Kansas City,50,37000
Long Beach,49,36000
Mesa,48,35000
Atlanta,47,34000
Virginia Beach,46,33000
Omaha,45,32000
Colorado Springs,44,31000
""
