""
PlayerID,HoursPracticed,PerformanceScore
1,1.0,40
2,1.5,43
3,2.0,45
4,2.5,47
5,3.0,50
6,3.5,52
7,4.0,55
8,4.5,57
9,5.0,60
10,5.5,62
11,6.0,65
12,6.5,67
13,7.0,70
14,7.5,72
15,8.0,75
16,8.5,77
17,9.0,80
18,9.5,82
19,10.0,84
20,10.5,86
21,11.0,88
22,11.5,90
23,12.0,92
24,12.5,94
25,13.0,96
26,13.5,98
27,14.0,100
28,14.5,102
29,15.0,104
30,15.5,106
31,16.0,108
32,16.5,110
33,17.0,112
34,17.5,114
35,18.0,116
36,18.5,118
37,19.0,120
38,19.5,122
39,20.0,124
40,20.5,126
41,21.0,128
42,21.5,130
43,22.0,132
44,22.5,134
45,23.0,136
46,23.5,138
47,24.0,140
48,24.5,142
49,25.0,144
50,25.5,146
51,26.0,148
52,26.5,150
53,27.0,152
54,27.5,154
55,28.0,156
56,28.5,158
57,29.0,160
58,29.5,162
59,30.0,164
""
