""
Topic,Average_Time_on_Social_Media_per_Day,Average_Happiness_Level
'Philosophy & Ethics',0.5,6.2
'Philosophy & Ethics',1,6.5
'Philosophy & Ethics',1.5,6.7
'Philosophy & Ethics',2,6.9
'Philosophy & Ethics',2.5,7.0
'Philosophy & Ethics',3,7.2
'Philosophy & Ethics',3.5,7.3
'Philosophy & Ethics',4,7.1
'Philosophy & Ethics',4.5,6.8
'Philosophy & Ethics',5,6.5
'Philosophy & Ethics',5.5,6.3
'Philosophy & Ethics',6,6.1
'Philosophy & Ethics',6.5,6.0
'Philosophy & Ethics',7,5.8
'Philosophy & Ethics',7.5,5.7
'Philosophy & Ethics',8,5.5
'Philosophy & Ethics',8.5,5.3
'Philosophy & Ethics',9,5.2
'Philosophy & Ethics',9.5,5.1
'Philosophy & Ethics',10,5.0
'Philosophy & Ethics',10.5,4.9
'Philosophy & Ethics',11,4.8
'Philosophy & Ethics',11.5,4.7
'Philosophy & Ethics',12,4.6
""
