""
Country,AverageMonthlyStreamingHours,PercentageOutdoorActivities
USA,350,60
China,320,50
Japan,280,45
Germany,260,55
India,300,40
UK,290,58
France,270,57
Italy,250,52
Brazil,310,35
Canada,330,65
Russia,340,48
South Korea,360,43
Australia,280,68
Spain,290,53
Mexico,300,42
Indonesia,270,32
Netherlands,260,63
Saudi Arabia,250,25
Turkey,240,40
Switzerland,260,60
Nigeria,280,35
Argentina,300,45
South Africa,310,55
Egypt,270,30
Philippines,320,38
Vietnam,280,42
Thailand,270,50
Colombia,300,48
Malaysia,260,45
Chile,270,40
""
