""
City,AverageCaloriesBurned,ExerciseDuration
New York,550,45
Los Angeles,680,60
Chicago,500,40
Houston,720,55
Phoenix,750,50
Philadelphia,600,47
San Antonio,700,52
San Diego,670,55
Dallas,710,58
San Jose,690,60
Austin,720,57
Jacksonville,640,50
Fort Worth,680,53
Columbus,530,42
Charlotte,650,48
Indianapolis,560,45
Seattle,620,50
Denver,600,47
Boston,530,44
El Paso,710,59
Detroit,540,41
Nashville,590,49
Memphis,650,54
Portland,540,45
Las Vegas,750,65
Louisville,580,46
Baltimore,570,45
Milwaukee,530,43
Albuquerque,680,55
Tucson,710,60
""
