""
Continent,Country,Population
Asia,China,1439323776
Asia,India,1380004385
Asia,Indonesia,273523615
Asia,Pakistan,220892340
Asia,Bangladesh,164689383
Europe,Russia,145934462
Europe,Germany,83783942
Europe,United Kingdom,67886011
Europe,France,65273511
Europe,Italy,60461826
Africa,Nigeria,206139589
Africa,Ethiopia,114963588
Africa,Egypt,102334404
Africa,DR Congo,89561403
Africa,Tanzania,59734218
Americas,United States,331002651
Americas,Brazil,212559417
Americas,Mexico,128932753
Americas,Colombia,50882891
Americas,Argentina,45195774
Oceania,Australia,25499884
Oceania,Papua New Guinea,8947024
Oceania,New Zealand,4822233
Oceania,Fiji,896445
Oceania,Samoa,198414
""
