""
Continent,Country,Expenditure
Asia,China,50000
Asia,India,45000
Asia,Japan,40000
Asia,South Korea,30000
Asia,Indonesia,25000
Europe,Germany,55000
Europe,United Kingdom,45000
Europe,France,42000
Europe,Italy,38000
Europe,Russia,36000
Africa,Nigeria,20000
Africa,South Africa,18000
Africa,Egypt,16000
Africa,Algeria,15000
Africa,Morocco,14000
Americas,United States,70000
Americas,Brazil,35000
Americas,Canada,30000
Americas,Mexico,28000
Americas,Argentina,26000
Oceania,Australia,32000
Oceania,New Zealand,29000
Oceania,Papua New Guinea,20000
Oceania,Fiji,15000
Oceania,Samoa,10000
""
