""
category,sub_category,value
AI & Machine Learning,Deep Learning,1200
AI & Machine Learning,Neural Networks,1150
AI & Machine Learning,Computer Vision,1100
AI & Machine Learning,Natural Language Processing,1050
Robotics,Industrial Robots,1000
Robotics,Service Robots,950
Robotics,Medical Robots,900
Robotics,Humanoid Robots,850
Internet of Things,Smart Homes,1300
Internet of Things,Smart Cities,1250
Internet of Things,Wearable Devices,1200
Internet of Things,Connected Cars,1150
Blockchain,Cryptocurrency,1100
Blockchain,Smart Contracts,1050
Blockchain,DeFi,1000
Blockchain,NFTs,950
Quantum Computing,Qubit Development,1400
Quantum Computing,Quantum Algorithms,1350
Quantum Computing,Quantum Cryptography,1300
Quantum Computing,Quantum Supremacy,1250
Biotechnology,CRISPR,1200
Biotechnology,Stem Cell Research,1150
Biotechnology,Bioinformatics,1100
Biotechnology,Genomics,1050
Cybersecurity,Network Security,1400
Cybersecurity,Data Privacy,1350
Cybersecurity,Threat Intelligence,1300
Cybersecurity,Penetration Testing,1250
""
