""
Year,Category,Value
2021,Novels,12.5
2021,Poetry,18.2
2021,Drama,15.4
2021,Essays,10.1
2021,Biographies,9.3
2021,Short Stories,7.2
2021,Non-Fiction,5.6
2021,Graphic Novels,8.9
2021,Fantasy,6.4
2022,Novels,13.0
2022,Poetry,19.0
2022,Drama,16.0
2022,Essays,10.5
2022,Biographies,9.7
2022,Short Stories,7.5
2022,Non-Fiction,6.0
2022,Graphic Novels,9.2
2022,Fantasy,6.7
2023,Novels,13.5
2023,Poetry,20.0
2023,Drama,17.0
2023,Essays,11.0
2023,Biographies,10.0
2023,Short Stories,8.0
2023,Non-Fiction,6.5
2023,Graphic Novels,9.5
2023,Fantasy,7.0
""
