""
category,sub_category,value
Food,Fruits,1200
Food,Vegetables,800
Food,Grains,1500
Food,Dairy,900
Nutrition,Protein,1100
Nutrition,Carbohydrates,1000
Nutrition,Vitamins,1300
Nutrition,Minerals,1400
Cuisine,Asian,700
Cuisine,European,600
Cuisine,American,800
Cuisine,African,900
Diet,Keto,1000
Diet,Vegan,1100
Diet,Paleo,1200
Diet,Low-Carb,1300
Beverages,Juices,1400
Beverages,Tea,900
Beverages,Coffee,1100
Beverages,Smoothies,1000
Supplements,Protein Shakes,700
Supplements,Multivitamins,800
Supplements,Herbal,900
Supplements,Fish Oil,600
""
