""
Topic,Subtopic,Value
Future Technologies & Society,Artificial Intelligence,9000
Future Technologies & Society,Quantum Computing,8500
Future Technologies & Society,Virtual Reality,8000
Future Technologies & Society,Blockchain,7500
Future Technologies & Society,5G Networks,7000
Future Technologies & Society,Smart Cities,6500
Future Technologies & Society,Internet of Things,6000
Future Technologies & Society,Renewable Energy,5500
Future Technologies & Society,Autonomous Vehicles,5000
Future Technologies & Society,Space Tourism,4500
Future Technologies & Society,Genetic Engineering,4000
Future Technologies & Society,Cybersecurity,3500
Future Technologies & Society,Augmented Reality,3000
Future Technologies & Society,Robotics,2500
Future Technologies & Society,Nanotechnology,2000
Future Technologies & Society,3D Printing,1500
Future Technologies & Society,Smart Homes,1000
Future Technologies & Society,Drone Technology,500
""
