""
Category,Amount
Cryptocurrency,320.5
Stock Market,280.9
Real Estate,210.7
Mutual Funds,160.4
Bonds,130.8
Commodities,105.6
Savings Accounts,85.3
Pension Funds,70.9
Insurance,55.7
Hedge Funds,45.8
Private Equity,35.6
Venture Capital,28.9
Crowdfunding,23.4
Peer-to-Peer Lending,18.5
Foreign Exchange,12.3
Precious Metals,6.7
Space Exploration,50.1
Environmental Conservation,42.5
Technology Startups,95.4
Renewable Energy,78.9
Healthcare Innovations,60.2
Education Funding,37.1
Artificial Intelligence,29.3
Global Connectivity,17.6
Climate Change Mitigation,11.8
""
