""
Year,Category,Revenue
2019,Fitness Equipment,150.0
2019,Fitness Apparel,85.3
2019,Fitness Supplements,45.2
2019,Gyms,105.7
2019,Online Fitness Classes,75.8
2020,Fitness Equipment,185.4
2020,Fitness Apparel,95.1
2020,Fitness Supplements,55.3
2020,Gyms,110.9
2020,Online Fitness Classes,102.4
2021,Fitness Equipment,210.5
2021,Fitness Apparel,105.6
2021,Fitness Supplements,65.7
2021,Gyms,120.3
2021,Online Fitness Classes,125.8
2022,Fitness Equipment,230.9
2022,Fitness Apparel,115.8
2022,Fitness Supplements,75.4
2022,Gyms,130.7
2022,Online Fitness Classes,140.6
""
