""
category,sub_category,value
Music,Rock,2200
Music,Jazz,1800
Music,Classical,1500
Music,Pop,1400
Music,Hip Hop,1300
Music,Country,1200
Music,Electronic,1100
Music,Folk,1000
Performing Arts,Theater,2000
Performing Arts,Dance,1700
Performing Arts,Opera,1600
Performing Arts,Circus,900
Performing Arts,Mime,800
Performing Arts,Stand-up Comedy,700
Performing Arts,Magic Shows,600
Performing Arts,Street Performances,500
Instruments,Guitar,2500
Instruments,Piano,2400
Instruments,Violin,2300
Instruments,Drums,2200
Instruments,Flute,2100
Instruments,Saxophone,2000
Instruments,Trumpet,1900
Instruments,Harp,1800
Festivals,Music Festivals,2700
Festivals,Dance Festivals,2600
Festivals,Theater Festivals,2500
Festivals,Street Festivals,2400
Festivals,Folk Festivals,2300
Festivals,Cultural Festivals,2200
Festivals,Opera Festivals,2100
Festivals,Comedy Festivals,2000
""
