""
Category,Value,Aspect
Painting,80,Art & Design
Sculpture,70,Art & Design
Drawing,75,Art & Design
Architecture,90,Art & Design
Fashion Design,85,Art & Design
Graphic Design,65,Art & Design
Interior Design,55,Art & Design
Industrial Design,60,Art & Design
Photography,50,Art & Design
Film,45,Art & Design
Animation,95,Art & Design
Calligraphy,85,Art & Design
Textile Art,70,Art & Design
Ceramics,80,Art & Design
Printmaking,75,Art & Design
Jewelry Design,65,Art & Design
Landscape Design,60,Art & Design
Performing Arts,55,Art & Design
Literature,85,Art & Design
Music,90,Art & Design
""
