""
Category,Subcategory,Value
Mental Health Services,Teletherapy,200000
Mental Health Services,In-person Counseling,300000
Mental Health Services,Mindfulness Workshops,150000
Nutrition Counseling,Weight Management,180000
Nutrition Counseling,Diet Planning,240000
Nutrition Counseling,Sports Nutrition,220000
Physical Therapy,Rehabilitation,400000
Physical Therapy,Occupational Therapy,300000
Physical Therapy,Chiropractic Services,250000
Wellness Coaching,Life Coaching,270000
Wellness Coaching,Stress Management,200000
Wellness Coaching,Habit Formation,230000
Fitness Programs,Gym Memberships,500000
Fitness Programs,Online Fitness Classes,320000
Fitness Programs,Personal Training,420000
Alternative Medicine,Acupuncture,180000
Alternative Medicine,Herbal Medicine,160000
Alternative Medicine,Homeopathy,140000
Sleep Science,Insomnia Treatments,190000
Sleep Science,Sleep Apnea Solutions,210000
Sleep Science,Sleep Studies,170000
""
