""
Continent,Country,Biodiversity Index
Asia,China,85
Asia,India,80
Asia,Japan,70
Asia,South Korea,65
Asia,Indonesia,95
Europe,Germany,75
Europe,United Kingdom,70
Europe,France,80
Europe,Italy,78
Europe,Russia,85
Africa,Nigeria,90
Africa,South Africa,85
Africa,Egypt,70
Africa,Algeria,65
Africa,Morocco,75
Americas,United States,88
Americas,Brazil,95
Americas,Canada,82
Americas,Mexico,78
Americas,Argentina,80
Oceania,Australia,85
Oceania,New Zealand,90
Oceania,Papua New Guinea,95
Oceania,Fiji,75
Oceania,Samoa,70
Asia,Saudi Arabia,65
Europe,Spain,80
Africa,Kenya,85
Americas,Chile,80
Oceania,Micronesia,75
""
