""
Topic,Subtopic,Value
Sports & Fitness,Football,9500
Sports & Fitness,Basketball,9200
Sports & Fitness,Cricket,8900
Sports & Fitness,Tennis,8600
Sports & Fitness,Swimming,8300
Sports & Fitness,Cycling,8000
Sports & Fitness,Running,7700
Sports & Fitness,Golf,7400
Sports & Fitness,Baseball,7100
Sports & Fitness,Hockey,6800
Sports & Fitness,Boxing,6500
Sports & Fitness,Rugby,6200
Sports & Fitness,Martial Arts,5900
Sports & Fitness,Skiing,5600
Sports & Fitness,Surfing,5300
Sports & Fitness,Table Tennis,5000
Sports & Fitness,Volleyball,4700
Sports & Fitness,Weightlifting,4400
Sports & Fitness,Skateboarding,4100
Sports & Fitness,Rock Climbing,3800
Sports & Fitness,Rowing,3500
Sports & Fitness,Fencing,3200
Sports & Fitness,Archery,2900
Sports & Fitness,Dance,2600
Sports & Fitness,Yoga,2300
Sports & Fitness,Gymnastics,2000
Sports & Fitness,Pilates,1700
Sports & Fitness,Parkour,1400
Sports & Fitness,Mountaineering,1100
Sports & Fitness,Paragliding,800
""
