""
Event,Attendance
Mental Health Workshop,2500
Nutrition Seminar,4000
Fitness Bootcamp,6000
Yoga Session,7000
Mindfulness Retreat,8000
Health Screening,9000
Stress Management Lecture,10000
Wellness Fair,11000
Psychology Conference,12000
Diet & Exercise Workshop,13000
Therapy Session,14000
Meditation Class,15000
Sleep Health Seminar,16000
Healthy Cooking Demo,17000
Self-Care Day,18000
Holistic Health Expo,19000
Physical Therapy Session,20000
Mental Wellness Symposium,21000
Alternative Medicine Fair,22000
Life Coaching Seminar,23000
""
