""
category,sub_category,value
Science & Nature,Physics,1200
Science & Nature,Chemistry,800
Science & Nature,Biology,1500
Science & Nature,Astronomy,900
Science & Nature,Geology,1100
Science & Nature,Ecology,1000
Science & Nature,Zoology,1300
Science & Nature,Botany,1400
Science & Nature,Marine Biology,700
Science & Nature,Meteorology,600
Science & Nature,Genetics,800
Science & Nature,Microbiology,900
Science & Nature,Astrobiology,1000
Science & Nature,Environmental Science,1100
Science & Nature,Biotechnology,1200
Science & Nature,Astrophysics,1300
Science & Nature,Climatology,1400
Science & Nature,Oceanography,900
Science & Nature,Paleontology,1100
Science & Nature,Entomology,1000
Science & Nature,Ornithology,700
Science & Nature,Herpetology,800
Science & Nature,Ichthyology,900
Science & Nature,Mycology,600
""
