""
Event,Attendance
Satellite Launch,5000
Astronomy Lecture,12000
Meteor Shower Viewing,8000
Space Museum Visit,15000
Rocket Building Workshop,7000
Planetarium Show,20000
Astrophotography Contest,11000
Space Art Exhibition,14000
Star Gazing Night,13000
Mars Rover Simulation,10000
Space Quiz Competition,6000
Alien Movie Screening,17000
Telescope Workshop,9000
Astronaut Meet & Greet,2500
Comet Chasing,4000
Space Technology Fair,16000
Lunar Eclipse Viewing,22000
Space Camp,19000
Black Hole Presentation,18000
Astrobiology Seminar,30000
""
