""
Type,Emissions
Yoga Studios,210
Gyms and Fitness Centers,250
Sports Arenas,300
Outdoor Adventure Parks,220
Swimming Pools,270
Cycling Paths,230
Hiking Trails,190
Climbing Gyms,240
Martial Arts Dojos,260
Dance Studios,280
Tennis Courts,210
Golf Courses,220
Basketball Courts,230
Running Tracks,240
Ski Resorts,250
Surfing Spots,260
Baseball Fields,270
Soccer Fields,280
Cricket Grounds,290
Rugby Pitches,300
Boxing Gyms,310
Skate Parks,320
Bowling Alleys,330
Archery Ranges,340
Badminton Courts,350
Horseback Riding Trails,360
Parkour Parks,370
Gymnastics Centers,380
Trampoline Parks,390
Diving Centers,400
Ice Skating Rinks,410
""
