""
category,sub_category,value
Literature & Writing,Poetry,1000
Literature & Writing,Novels,950
Literature & Writing,Short Stories,850
Literature & Writing,Plays,800
Philosophy & Ethics,Existentialism,1100
Philosophy & Ethics,Ethics,1050
Philosophy & Ethics,Metaphysics,950
Philosophy & Ethics,Logic,900
Sports & Fitness,Running,1200
Sports & Fitness,Cycling,1150
Sports & Fitness,Swimming,1000
Sports & Fitness,Weightlifting,900
Food & Nutrition,Fruits,1300
Food & Nutrition,Vegetables,1200
Food & Nutrition,Proteins,1100
Food & Nutrition,Dairy,1000
Art & Design,Painting,1100
Art & Design,Sculpture,1050
Art & Design,Graphic Design,950
Art & Design,Photography,900
Business & Entrepreneurship,Marketing,1300
Business & Entrepreneurship,Finance,1250
Business & Entrepreneurship,Management,1200
Business & Entrepreneurship,Entrepreneurship,1150
Culture & Society,Music,1100
Culture & Society,Theatre,1050
Culture & Society,Dance,1000
Culture & Society,Film,950
""
