""
Topic,Count,Color
Artificial Intelligence,1700,#FF6347
Machine Learning,1600,#4682B4
Deep Learning,1500,#6A5ACD
Neural Networks,1400,#32CD32
Natural Language Processing,1300,#FFD700
Computer Vision,1200,#FF4500
Data Science,1100,#8A2BE2
Big Data,1000,#00CED1
Robotics,900,#FF1493
Internet of Things,800,#7FFF00
Cybersecurity,700,#D2691E
Cloud Computing,600,#20B2AA
Quantum Computing,500,#FF00FF
Augmented Reality,400,#FFA07A
Virtual Reality,300,#DC143C
Blockchain,250,#7B68EE
Edge Computing,200,#00FF7F
Bioinformatics,150,#FF69B4
Autonomous Vehicles,100,#008080
Smart Cities,90,#FFD700
Wearable Technology,80,#4169E1
5G Technology,70,#8B0000
Digital Twins,60,#32CD32
AI Ethics,50,#800080
""
