""
Category,Subcategory,Value
Travel & Adventure,Hiking,200000
Travel & Adventure,Camping,150000
Travel & Adventure,Backpacking,100000
Travel & Adventure,Scuba Diving,250000
Travel & Adventure,Surfing,180000
Travel & Adventure,Sky Diving,160000
Travel & Adventure,Rock Climbing,220000
Travel & Adventure,Safari,300000
Travel & Adventure,Mountain Biking,170000
Travel & Adventure,Skiing,190000
Travel & Adventure,Snowboarding,210000
Travel & Adventure,Kayaking,140000
Travel & Adventure,White Water Rafting,120000
Travel & Adventure,Paragliding,130000
Travel & Adventure,Hot Air Ballooning,200000
""
