""
Continent,Country,Research_Spending
Asia,China,300000
Asia,India,120000
Asia,Japan,250000
Asia,South Korea,150000
Asia,Indonesia,80000
Europe,Germany,180000
Europe,United Kingdom,160000
Europe,France,140000
Europe,Italy,110000
Europe,Russia,90000
Africa,Nigeria,60000
Africa,South Africa,70000
Africa,Egypt,50000
Africa,Algeria,40000
Africa,Morocco,30000
Americas,United States,350000
Americas,Brazil,200000
Americas,Canada,220000
Americas,Mexico,130000
Americas,Argentina,100000
Oceania,Australia,175000
Oceania,New Zealand,95000
Oceania,Papua New Guinea,40000
Oceania,Fiji,30000
Oceania,Samoa,20000
Asia,Saudi Arabia,105000
Europe,Spain,120000
Africa,Kenya,45000
Americas,Chile,95000
Oceania,Micronesia,15000
""
