""
Region,Genre,Sales
North America,Fiction,1500
North America,Non-Fiction,1300
North America,Romance,1100
North America,Science Fiction,900
North America,Fantasy,1200
Europe,Fiction,1400
Europe,Non-Fiction,1100
Europe,Romance,1000
Europe,Science Fiction,850
Europe,Fantasy,900
Asia,Fiction,1600
Asia,Non-Fiction,1450
Asia,Romance,1350
Asia,Science Fiction,1200
Asia,Fantasy,1300
South America,Fiction,900
South America,Non-Fiction,850
South America,Romance,800
South America,Science Fiction,700
South America,Fantasy,750
Africa,Fiction,850
Africa,Non-Fiction,750
Africa,Romance,700
Africa,Science Fiction,650
Africa,Fantasy,600
Oceania,Fiction,550
Oceania,Non-Fiction,500
Oceania,Romance,450
Oceania,Science Fiction,400
Oceania,Fantasy,350
""
