""
Region,Crop,Revenue
North America,Tech,1200
North America,Retail,950
North America,Finance,850
North America,Energy,1150
North America,Healthcare,700
Europe,Tech,1000
Europe,Retail,800
Europe,Finance,650
Europe,Energy,750
Europe,Healthcare,600
Asia,Tech,1300
Asia,Retail,1100
Asia,Finance,1000
Asia,Energy,1050
Asia,Healthcare,900
South America,Tech,700
South America,Retail,600
South America,Finance,550
South America,Energy,650
South America,Healthcare,500
Africa,Tech,600
Africa,Retail,500
Africa,Finance,450
Africa,Energy,550
Africa,Healthcare,400
Oceania,Tech,300
Oceania,Retail,250
Oceania,Finance,200
Oceania,Energy,350
Oceania,Healthcare,150
""
