""
Category, Subcategory, Value
Sports, Football, 1800
Sports, Basketball, 1700
Sports, Tennis, 900
Sports, Golf, 950
Sports, Swimming, 850
Fitness, Gym, 1200
Fitness, Yoga, 1100
Fitness, Pilates, 950
Fitness, CrossFit, 800
Fitness, Running, 850
Art, Painting, 1300
Art, Sculpture, 1150
Art, Digital Art, 1050
Art, Photography, 1100
Art, Crafts, 950
Music, Classical, 1000
Music, Rock, 900
Music, Jazz, 800
Music, Pop, 850
Music, Hip-hop, 750
Education, Primary, 700
Education, Secondary, 650
Education, Tertiary, 600
Education, Vocational, 550
Education, Online, 500
Health, Mental Health, 1400
Health, Physical Health, 1350
Health, Nutrition, 1200
Health, Fitness, 1150
Health, Wellness, 1100
""
