""
Region,Country,Healthcare_Spending
North America,United States,380000
North America,Canada,200000
North America,Mexico,120000
South America,Brazil,180000
South America,Argentina,90000
Europe,Germany,220000
Europe,United Kingdom,200000
Europe,France,180000
Europe,Italy,150000
Europe,Spain,130000
Europe,Sweden,110000
Europe,Netherlands,120000
Asia,China,300000
Asia,India,150000
Asia,Japan,250000
Asia,South Korea,170000
Asia,Indonesia,100000
Africa,Nigeria,80000
Africa,South Africa,70000
Africa,Kenya,50000
Africa,Egypt,40000
Oceania,Australia,150000
Oceania,New Zealand,80000
Oceania,Fiji,30000
Oceania,Papua New Guinea,20000
""
