""
category,sub_category,value
Mental Health,Depression,1500
Mental Health,Anxiety,1200
Mental Health,Bipolar Disorder,800
Mental Health,Schizophrenia,600
Physical Health,Heart Disease,1800
Physical Health,Diabetes,1600
Physical Health,Asthma,1400
Physical Health,Cancer,1200
Nutrition,Diet Plans,900
Nutrition,Supplements,700
Nutrition,Organic Foods,500
Nutrition,Processed Foods,300
Exercise,Aerobics,800
Exercise,Strength Training,600
Exercise,Yoga,400
Exercise,Pilates,200
Sleep Disorders,Insomnia,1000
Sleep Disorders,Apnea,800
Sleep Disorders,Restless Legs,600
Sleep Disorders,Narcolepsy,400
Addictions,Substance Abuse,1500
Addictions,Alcoholism,1200
Addictions,Smoking,1000
Addictions,Overeating,800
""
