""
Country,Average Monthly Temperature (°C)
New York,12.3
Los Angeles,17.5
Chicago,10.0
Houston,20.9
Phoenix,24.6
Philadelphia,12.9
San Antonio,21.7
San Diego,18.5
Dallas,19.3
San Jose,15.5
Austin,20.2
Jacksonville,22.1
San Francisco,14.1
Columbus,11.2
Indianapolis,11.1
Fort Worth,19.6
Charlotte,16.8
Seattle,11.0
Denver,10.8
Washington D.C.,14.5
Boston,11.1
El Paso,19.0
Nashville,16.2
Detroit,10.0
Memphis,17.8
Portland,11.9
Oklahoma City,17.1
Las Vegas,21.4
Louisville,13.6
Baltimore,14.0
Milwaukee,9.1
Albuquerque,16.8
Tucson,22.4
Fresno,19.0
Mesa,23.1
Sacramento,16.7
Atlanta,16.0
Kansas City,13.2
Colorado Springs,10.6
Miami,25.1
""
