""
Activity,Impact
Reforestation Project,50000
Coastal Cleanup,25000
Wildlife Conservation,30000
Renewable Energy Campaign,45000
Sustainable Agriculture Workshop,20000
Climate Change Awareness Rally,35000
Green Building Initiative,15000
Urban Gardening Program,10000
Plastic Ban Enforcement,27000
Carbon Footprint Reduction,32000
Eco-Friendly Transportation Promotion,21000
Water Conservation Project,29000
Energy Efficiency Drive,23000
Community Recycling Drive,19000
Tree Planting Event,40000
Ocean Conservation Effort,34000
Air Quality Improvement Plan,37000
Wildlife Habitat Restoration,22000
Solar Panel Installation Drive,41000
Electric Vehicle Subsidies,24000
""
