""
category,sub_category,value
Entertainment & Leisure,Movies,350
Entertainment & Leisure,Music,270
Entertainment & Leisure,Video Games,320
Entertainment & Leisure,Books,230
Entertainment & Leisure,TV Shows,210
Entertainment & Leisure,Podcasts,190
Entertainment & Leisure,Live Events,170
Entertainment & Leisure,Streaming Services,240
Entertainment & Leisure,Board Games,130
Entertainment & Leisure,Comics,140
Entertainment & Leisure,Theme Parks,160
Entertainment & Leisure,Concerts,180
Entertainment & Leisure,Art Exhibitions,150
Entertainment & Leisure,Theater,200
Entertainment & Leisure,Opera,120
Entertainment & Leisure,Museums,110
Entertainment & Leisure,Amusement Parks,100
Entertainment & Leisure,Virtual Reality,90
Entertainment & Leisure,Augmented Reality,80
Entertainment & Leisure,Escape Rooms,70
""
