""
Year,Investment_Type,Percentage
2021,Stocks,35.5
2021,Bonds,15.2
2021,Real Estate,18.3
2021,Mutual Funds,10.5
2021,ETFs,8.7
2021,Cryptocurrency,5.4
2021,Gold,3.9
2021,Commodities,2.5
2021,Other,0.9
2022,Stocks,36.0
2022,Bonds,14.9
2022,Real Estate,18.8
2022,Mutual Funds,10.7
2022,ETFs,9.1
2022,Cryptocurrency,5.6
2022,Gold,4.0
2022,Commodities,2.4
2022,Other,1.0
2023,Stocks,37.2
2023,Bonds,14.3
2023,Real Estate,19.0
2023,Mutual Funds,11.0
2023,ETFs,9.5
2023,Cryptocurrency,5.7
2023,Gold,4.2
2023,Commodities,2.3
2023,Other,1.1
""
