""
Region,Crop,Revenue
North America,Fruits,1400
North America,Vegetables,1200
North America,Dairy,1000
North America,Meat,1300
North America,Grains,1100
Europe,Fruits,1250
Europe,Vegetables,1050
Europe,Dairy,950
Europe,Meat,1150
Europe,Grains,850
Asia,Fruits,1500
Asia,Vegetables,1350
Asia,Dairy,1200
Asia,Meat,1400
Asia,Grains,1250
South America,Fruits,950
South America,Vegetables,850
South America,Dairy,750
South America,Meat,900
South America,Grains,700
Africa,Fruits,850
Africa,Vegetables,750
Africa,Dairy,650
Africa,Meat,800
Africa,Grains,600
Oceania,Fruits,500
Oceania,Vegetables,450
Oceania,Dairy,400
Oceania,Meat,550
Oceania,Grains,350
""
