""
Year,Category,Investment
2019,Online Learning Platforms,250.5
2019,Virtual Classrooms,190.3
2019,E-books,130.2
2019,Educational Software,120.7
2019,Interactive Whiteboards,95.8
2020,Online Learning Platforms,290.4
2020,Virtual Classrooms,210.9
2020,E-books,140.7
2020,Educational Software,150.1
2020,Interactive Whiteboards,105.4
2021,Online Learning Platforms,320.5
2021,Virtual Classrooms,225.6
2021,E-books,155.2
2021,Educational Software,165.3
2021,Interactive Whiteboards,115.9
2022,Online Learning Platforms,350.7
2022,Virtual Classrooms,240.8
2022,E-books,170.3
2022,Educational Software,180.2
2022,Interactive Whiteboards,125.5
""
