""
category,sub_category,value
Fashion & Beauty,Hairstyling,1100
Fashion & Beauty,Cosmetics,1200
Fashion & Beauty,Skincare,1300
Fashion & Beauty,Fashion Design,900
Food & Nutrition,Fine Dining,1400
Food & Nutrition,Healthy Eating,1200
Food & Nutrition,Street Food,1000
Food & Nutrition,Baking,1100
Music & Performing Arts,Opera,800
Music & Performing Arts,Theater,900
Music & Performing Arts,Rock Music,1000
Music & Performing Arts,Classical Music,1100
Health & Psychology,Mental Wellness,1300
Health & Psychology,Physical Fitness,1200
Health & Psychology,Public Health,1100
Health & Psychology,Psychotherapy,1000
Art & Design,Graphic Design,1400
Art & Design,Interior Design,1200
Art & Design,Photography,1100
Art & Design,Painting,1000
Science & Nature,Astronomy,1100
Science & Nature,Botany,1200
Science & Nature,Zoology,1300
Science & Nature,Geology,1400
""
