""
Category,Values
Market Analysis,200
Financial Planning,180
Product Development,220
Brand Management,160
Customer Service,170
Sales Strategies,210
Innovation & Creativity,190
Leadership Skills,200
Digital Marketing,230
Supply Chain Management,175
Business Ethics,195
Entrepreneurial Mindset,205
Risk Management,185
Corporate Social Responsibility,215
E-commerce Trends,225
Business Analytics,190
Negotiation Techniques,180
Investment Strategies,195
Startup Ecosystems,205
Global Business Trends,210
""
