""
Event,Attendance
Mathematics Workshop,4500
Physics Lecture,13000
Chemistry Experiment Day,9500
Biology Field Trip,12500
History Seminar,7800
Geography Fair,11200
Computer Science Coding Bootcamp,17000
Literature Reading Session,15500
Art History Presentation,9100
Philosophy Debate,5200
Language Learning Meetup,10500
Psychology Group Discussion,8900
Music Theory Class,9400
Economics Game,14200
Business Plan Competition,16000
Engineering Robotics Challenge,20000
Environmental Science Workshop,13500
Political Science Talk,7500
Sociology Research Project,11800
Creative Writing Contest,16800
""
