""
Category,Value
Mental Health Services,1500000
Fitness Programs,900000
Nutritional Counseling,700000
Stress Management Workshops,400000
Sleep Clinics,2300000
Rehabilitation Centers,800000
Community Health Initiatives,650000
Telehealth Services,500000
Medical Research,300000
Pharmaceutical Innovations,750000
Yoga & Meditation,1200000
Preventive Screenings,450000
Health Education,850000
Dental Care,950000
Home Healthcare,600000
Pediatric Care,200000
Geriatric Services,100000
Public Health Campaigns,700000
Mobile Health Clinics,300000
Health Apps,400000
Alternative Medicine,1100000
Employee Wellness Programs,950000
Substance Abuse Programs,1250000
Immunization Drives,850000
First Aid Training,450000
Healthcare Technology,2000000
Disease Control,900000
Emergency Response,3000000
Fitness Tracking,1700000
Genetic Research,1400000
""
