""
category,sub_category,value
Health & Psychology,Mental Health,300
Health & Psychology,Physical Fitness,200
Health & Psychology,Nutrition,150
Health & Psychology,Sleep,90
Health & Psychology,Stress Management,95
Health & Psychology,Meditation,60
Health & Psychology,Wellness,180
Health & Psychology,Yoga,140
Health & Psychology,Therapy,110
Health & Psychology,Health Supplements,70
Health & Psychology,Healthy Eating,80
Health & Psychology,Exercise,60
Health & Psychology,Cardio,50
Health & Psychology,Strength Training,80
Health & Psychology,HIIT,200
Health & Psychology,Weight Loss,100
Health & Psychology,Recovery,120
Health & Psychology,Flexibility,130
Health & Psychology,Mindfulness,110
Health & Psychology,Preventive Care,140
""
