""
category,sub_category,value
Environment,Renewable Energy,1400
Environment,Conservation Efforts,900
Environment,Pollution Control,500
Environment,Wildlife Protection,600
Health,Medical Research,1000
Health,Nutrition,800
Health,Mental Health,700
Health,Public Health,600
Technology,AI Development,1200
Technology,Cybersecurity,1100
Technology,Blockchain,800
Technology,Quantum Computing,700
Education,Higher Education,1300
Education,Online Learning,1000
Education,STEM Education,900
Education,Vocational Training,700
Finance,Investment Banking,1500
Finance,Personal Finance,1200
Finance,Insurance,1000
Finance,Real Estate,800
Culture,Music,900
Culture,Art,800
Culture,History,700
Culture,Literature,600
""
