""
category,sub_category,value
Entertainment & Leisure,Movies,450
Entertainment & Leisure,Music,320
Entertainment & Leisure,Video Games,280
Entertainment & Leisure,Books,190
Entertainment & Leisure,Board Games,120
Entertainment & Leisure,Live Shows,150
Entertainment & Leisure,Concerts,210
Entertainment & Leisure,Theater,170
Entertainment & Leisure,Amusement Parks,140
Entertainment & Leisure,Museums,110
Entertainment & Leisure,Festivals,130
Entertainment & Leisure,TV Shows,220
Entertainment & Leisure,Streaming Services,300
Entertainment & Leisure,Podcasts,90
Entertainment & Leisure,Escape Rooms,80
Entertainment & Leisure,Art Exhibitions,60
Entertainment & Leisure,Stand-Up Comedy,100
Entertainment & Leisure,Circus,70
Entertainment & Leisure,Zoos,50
Entertainment & Leisure,Parades,200
""
