""
Category,Subcategory,Value
Artificial Intelligence,Machine Learning,220000
Artificial Intelligence,Neural Networks,180000
Artificial Intelligence,Computer Vision,150000
Artificial Intelligence,Natural Language Processing,170000
Artificial Intelligence,Robotics,200000
Renewable Energy,Solar Power,300000
Renewable Energy,Wind Energy,250000
Renewable Energy,Hydropower,230000
Renewable Energy,Bioenergy,210000
Renewable Energy,Geothermal Energy,270000
Smart Cities,Internet of Things,180000
Smart Cities,Urban Mobility,150000
Smart Cities,Smart Buildings,160000
Smart Cities,Smart Infrastructure,190000
Smart Cities,Energy Efficiency,140000
Blockchain & Crypto,Cryptocurrencies,250000
Blockchain & Crypto,Smart Contracts,200000
Blockchain & Crypto,Decentralized Finance,220000
Blockchain & Crypto,NFTs,230000
Blockchain & Crypto,Blockchain Platforms,240000
""
