""
Activity,Impact
Yoga for Stress Relief,48000
Mindfulness Meditation Sessions,35000
Nutrition and Diet Workshops,42000
Mental Health Awareness Campaign,39000
Physical Fitness Programs,46000
Sleep Improvement Techniques,31000
Community Support Groups,27000
Digital Detox Retreats,32000
Art Therapy Workshops,29000
Healthy Eating Campaign,37000
Exercise and Wellbeing Classes,34000
Outdoor Adventure Therapy,41000
Music Therapy Sessions,30000
Self-Care and Wellness Retreats,33000
Stress Management Seminars,45000
Holistic Health Fairs,28000
Healthy Lifestyle Coaching,36000
Emotional Intelligence Training,40000
Family Health Education,38000
Preventive Health Checkups,43000
""
