""
Year,Topic,Papers
2019,Bioethics,25.5
2019,Environmental Ethics,18.0
2019,Ethical Theory,22.3
2019,Medical Ethics,15.7
2019,Professional Ethics,13.4
2019,Social Ethics,17.2
2019,Political Ethics,14.1
2020,Bioethics,27.3
2020,Environmental Ethics,20.1
2020,Ethical Theory,24.8
2020,Medical Ethics,17.5
2020,Professional Ethics,15.2
2020,Social Ethics,19.3
2020,Political Ethics,16.0
2021,Bioethics,30.2
2021,Environmental Ethics,22.4
2021,Ethical Theory,27.1
2021,Medical Ethics,19.0
2021,Professional Ethics,17.0
2021,Social Ethics,21.5
2021,Political Ethics,18.3
2022,Bioethics,32.6
2022,Environmental Ethics,24.5
2022,Ethical Theory,29.7
2022,Medical Ethics,21.2
2022,Professional Ethics,18.8
2022,Social Ethics,23.9
2022,Political Ethics,20.4
""
