""
category,sub_category,value
Business & Entrepreneurship,Startups,1200
Business & Entrepreneurship,Corporate Strategy,1100
Business & Entrepreneurship,Marketing,900
Business & Entrepreneurship,Finance,800
Technology,AI Development,1400
Technology,Cybersecurity,1200
Technology,Blockchain,1100
Technology,Quantum Computing,900
Health & Psychology,Mental Health,1300
Health & Psychology,Public Health,1100
Health & Psychology,Medical Research,1000
Health & Psychology,Nutrition,900
Education & Learning,Higher Education,1000
Education & Learning,Online Learning,900
Education & Learning,STEM Education,800
Education & Learning,Vocational Training,700
Environment & Climate Change,Renewable Energy,1100
Environment & Climate Change,Conservation Efforts,1000
Environment & Climate Change,Pollution Control,800
Environment & Climate Change,Wildlife Protection,700
Culture & Society,Music,1200
Culture & Society,Art,1100
Culture & Society,History,900
Culture & Society,Literature,800
""
