""
Field,Amount
History,120
Archaeology,110
Health,130
Psychology,140
Philosophy,105
Ethics,95
Entertainment,80
Leisure,75
Art,100
Design,125
Culture,115
Society,90
Astronomy,85
Space Exploration,135
Science,145
Nature,150
Politics,140
Governance,105
Food,110
Nutrition,95
Environment,85
Climate Change,80
Education,125
Learning,115
Fashion,130
Beauty,135
Travel,75
Adventure,70
Literature,90
Writing,85
Economics,145
Finance,150
Business,140
Entrepreneurship,135
Future Technologies,140
Society,125
Music,110
Performing Arts,105
Sports,130
Fitness,120
""
