""
Location,Value
Beachside,1500000
Hilltown,900000
Desert Oasis,700000
Forestville,400000
Metrocity,2300000
Riverbend,800000
Countryside,650000
Lakeside,500000
Mountain Peak,300000
Historical City,750000
Cultural Hub,1200000
Adventure Park,450000
Urban Jungle,850000
Seaside Resort,950000
Eco Village,600000
Remote Island,200000
Wilderness,100000
Coastal City,700000
Safari Camp,300000
Snowy Town,400000
Solar City,1100000
Astro Town,950000
Galaxy Base,1250000
Orbital Station,850000
Space Colony,450000
Nebula Village,2000000
Lunar Outpost,900000
Martian City,3000000
Stellar Port,1700000
Cosmic Hub,1400000
""
