""
Continent,Country,Expenditure
Asia,China,25400
Asia,India,18700
Asia,Japan,23000
Asia,South Korea,19000
Asia,Indonesia,11000
Europe,Germany,45000
Europe,United Kingdom,32000
Europe,France,28000
Europe,Italy,25000
Europe,Russia,20000
Africa,Nigeria,15000
Africa,South Africa,12000
Africa,Egypt,10000
Africa,Algeria,9000
Africa,Morocco,8000
Americas,United States,60000
Americas,Brazil,28000
Americas,Canada,27000
Americas,Mexico,21000
Americas,Argentina,18000
Oceania,Australia,30000
Oceania,New Zealand,20000
Oceania,Papua New Guinea,10000
Oceania,Fiji,8000
Oceania,Samoa,5000
""
