""
Category,Values
Cognitive Behavioral Therapy,210
Mindfulness,180
Psychodynamic Therapy,190
Art Therapy,160
Music Therapy,170
Occupational Therapy,185
Speech Therapy,175
Physical Therapy,195
Sports Psychology,155
Neuropsychology,145
Clinical Psychology,165
Counseling Psychology,135
Educational Psychology,125
Forensic Psychology,115
Health Psychology,105
Human Factors Psychology,95
Industrial-Organizational Psychology,85
Developmental Psychology,75
School Psychology,65
Community Psychology,155
""
