""
Category,Subcategory,Value
Sports & Fitness,Running Shoes,150000
Sports & Fitness,Yoga Mats,85000
Sports & Fitness,Fitness Trackers,120000
Business & Entrepreneurship,Startups,300000
Business & Entrepreneurship,Corporate,450000
Business & Entrepreneurship,Investments,320000
Future Technologies & Society,AI Research,600000
Future Technologies & Society,Robotics,400000
Future Technologies & Society,Blockchain,200000
Education & Learning,Online Courses,250000
Education & Learning,E-Books,180000
Education & Learning,Tutoring Services,140000
Astronomy & Space Exploration,Space Missions,500000
Astronomy & Space Exploration,Telescope Sales,170000
Astronomy & Space Exploration,Astro Photography,110000
""
