""
Topic,Sector,Entity,MarketCap
Entertainment & Leisure,Gaming,Nintendo,75000
Entertainment & Leisure,Gaming,Sony Interactive,110000
Entertainment & Leisure,Gaming,Microsoft Xbox,95000
Entertainment & Leisure,Streaming,Netflix,250000
Entertainment & Leisure,Streaming,Disney+,170000
Entertainment & Leisure,Streaming,Amazon Prime Video,300000
Entertainment & Leisure,Music,Spotify,55000
Entertainment & Leisure,Music,Apple Music,120000
Entertainment & Leisure,Music,Amazon Music,75000
Entertainment & Leisure,Movies,Warner Bros.,85000
Entertainment & Leisure,Movies,Universal Pictures,95000
Entertainment & Leisure,Movies,Paramount Pictures,60000
""
