""
category,sub_category,value
Planets,Earth,1200
Planets,Mars,950
Planets,Jupiter,800
Planets,Saturn,750
Stars,Sun,1500
Stars,Alpha Centauri,1100
Stars,Sirius,900
Stars,Betelgeuse,850
Galaxies,Milky Way,1600
Galaxies,Andromeda,1400
Galaxies,Whirlpool,1200
Galaxies,Sombrero,1000
Missions,Apollo 11,1300
Missions,Voyager 1,1150
Missions,Curiosity Rover,1050
Missions,Hubble Telescope,900
Theories,Big Bang,1450
Theories,String Theory,1300
Theories,Relativity,1200
Theories,Multiverse,1100
Telescopes,James Webb,1000
Telescopes,Kepler,950
Telescopes,Spitzer,900
Telescopes,Chandra,850
""
