""
Category,Subcategory,Value
Politics & Governance,Policy Research,250000
Politics & Governance,Campaign Management,150000
Politics & Governance,Public Administration,300000
Environment & Climate Change,Renewable Energy,450000
Environment & Climate Change,Climate Policy,320000
Environment & Climate Change,Conservation Projects,380000
Music & Performing Arts,Live Concerts,600000
Music & Performing Arts,Theater Productions,400000
Music & Performing Arts,Music Education,200000
Fashion & Beauty,Fashion Shows,250000
Fashion & Beauty,Cosmetics,180000
Fashion & Beauty,Personal Styling,140000
Education & Learning,Online Courses,500000
Education & Learning,E-Books,170000
Education & Learning,Tutoring Services,110000
Health & Psychology,Mental Health Services,300000
Health & Psychology,Nutrition Counseling,200000
Health & Psychology,Physical Therapy,400000
Economics & Finance,Investment Banking,600000
Economics & Finance,Stock Market Analysis,350000
Economics & Finance,Insurance,250000
""
