Month, Fiction (books), Non-Fiction (books), Children's Literature (books), Science & Tech (books), History (books), Arts & Music (books)
January, 140, 85, 90, 45, 60, 30
February, 130, 75, 95, 50, 55, 25
March, 145, 80, 80, 55, 65, 35
April, 160, 90, 85, 65, 70, 40
May, 150, 100, 75, 60, 60, 45
June, 120, 110, 70, 55, 50, 50
July, 110, 105, 65, 60, 55, 55
August, 115, 110, 70, 65, 60, 45
September, 135, 95, 80, 70, 65, 40
October, 140, 100, 85, 75, 70, 35
November, 130, 120, 90, 80, 75, 30
December, 155, 110, 100, 85, 80, 40
