Week,Books Checkouts,E-books Downloads,Study Rooms Use,Computer Access,Workshops Attendance,Other Services
2023-01-01,40%,20%,10%,15%,10%,5%
2023-01-08,38%,22%,9%,17%,9%,5%
2023-01-15,42%,18%,11%,14%,8%,7%
2023-01-22,35%,25%,8%,16%,11%,5%
2023-01-29,45%,15%,13%,12%,10%,5%
2023-02-05,40%,19%,12%,15%,9%,5%
2023-02-12,37%,21%,10%,17%,8%,7%
2023-02-19,30%,30%,9%,15%,10%,6%
2023-02-26,33%,23%,15%,12%,12%,5%
2023-03-05,31%,27%,12%,16%,9%,5%
2023-03-12,39%,20%,11%,18%,8%,4%
2023-03-19,36%,24%,13%,14%,10%,3%
