""
Category,Value
Future Technologies,120
Art & Design,98
Science & Nature,140
Health & Psychology,110
Culture & Society,135
Economics & Finance,125
Education & Learning,150
Entertainment & Leisure,130
Environment & Climate Change,145
Food & Nutrition,115
Travel & Adventure,105
Fashion & Beauty,100
Politics & Governance,90
Sports & Fitness,95
History & Archaeology,80
Philosophy & Ethics,85
Music & Performing Arts,102
Literature & Writing,110
Business & Entrepreneurship,138
Astronomy & Space Exploration,132
""
