""
Category,Value
Future Technologies,120
Art & Design,150
Science & Nature,180
Health & Psychology,200
Culture & Society,170
Economics & Finance,130
Education & Learning,190
Entertainment & Leisure,160
Environment & Climate Change,140
Food & Nutrition,210
Travel & Adventure,180
Fashion & Beauty,110
Politics & Governance,175
Sports & Fitness,195
History & Archaeology,165
Philosophy & Ethics,125
Music & Performing Arts,145
Literature & Writing,155
Business & Entrepreneurship,185
Astronomy & Space Exploration,205
""
