""
Category,Value
Future Technologies,120
Art & Design,200
Science & Nature,150
Health & Psychology,170
Culture & Society,180
Economics & Finance,210
Education & Learning,190
Entertainment & Leisure,160
Environment & Climate Change,140
Food & Nutrition,130
Travel & Adventure,155
Fashion & Beauty,165
Politics & Governance,175
Sports & Fitness,185
History & Archaeology,195
Philosophy & Ethics,205
Music & Performing Arts,215
Literature & Writing,225
Business & Entrepreneurship,235
Astronomy & Space Exploration,245
""
