""
Category,2020,2021,2022,2023,2024
Renewable Energy,45,50,55,60,68
Electric Vehicles,30,40,48,55,63
AI & Machine Learning,38,45,50,60,70
Biotechnology,25,30,35,40,50
Quantum Computing,15,20,25,30,38
Cybersecurity,40,45,50,55,60
Blockchain Technology,10,15,20,25,30
Robotics,20,25,30,35,40
3D Printing,12,18,22,28,35
Smart Cities,22,28,33,40,45
Virtual Reality,18,22,27,33,40
Augmented Reality,20,24,29,35,42
Internet of Things,35,40,45,50,55
Big Data,45,50,55,60,65
Space Exploration,5,10,15,20,28
Genomics,8,12,18,24,30
""
